,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,cLI,Streak,Orig. Scheduled,Year
9,"Saturday, Apr 6",STL,Home,MIA,W,3.0,1.0,9.0,5-4,5.0,2.0,Matz,Rogers,Helsley,2:18,D,.93,2,,2024
10,"Sunday, Apr 7",STL,Home,MIA,L,3.0,10.0,9.0,5-5,5.0,3.0,Meyer,Gibson,None,2:27,D,.94,-1,,2024
11,"Monday, Apr 8",STL,Home,PHI,L,3.0,5.0,10.0,5-6,5.0,4.0,Hoffman,Helsley,Soto,2:50,N,.93,-2,,2024
12,"Tuesday, Apr 9",STL,Home,PHI,W,3.0,0.0,9.0,6-6,5.0,3.0,Gray,Wheeler,Helsley,2:39,N,.91,1,,2024
13,"Wednesday, Apr 10",STL,Home,PHI,L,3.0,4.0,9.0,6-7,5.0,3.5,Nola,Pallante,Hoffman,3:10,D,.88,-1,,2024
14,"Friday, Apr 12",STL,@,ARI,W,9.0,6.0,9.0,7-7,5.0,3.0,Gallegos,Mantiply,Helsley,2:44,N,.92,1,,2024
15,"Saturday, Apr 13",STL,@,ARI,L,2.0,4.0,9.0,7-8,5.0,4.0,Nelson,Gibson,Ginkel,2:22,N,.94,-1,,2024
16,"Sunday, Apr 14",STL,@,ARI,L,0.0,5.0,9.0,7-9,5.0,4.0,Gallen,Mikolas,None,2:29,D,.87,-2,,2024
17,"Monday, Apr 15",STL,@,OAK,W,3.0,1.0,9.0,8-9,5.0,3.0,Gray,Stripling,Helsley,2:19,N,.79,1,,2024
18,"Tuesday, Apr 16",STL,@,OAK,W,3.0,2.0,9.0,9-9,5.0,2.0,Lynn,Jiménez,Helsley,2:29,N,.83,2,,2024
19,"Wednesday, Apr 17",STL,@,OAK,L,3.0,6.0,9.0,9-10,5.0,3.0,Blackburn,Matz,Miller,2:30,D,.87,-1,,2024
20,"Friday, Apr 19",STL,Home,MIL,L,1.0,2.0,10.0,9-11,5.0,4.0,Payamps,Helsley,Milner,3:02,N,.93,-2,,2024
21,"Saturday, Apr 20",STL,Home,MIL,L,5.0,12.0,9.0,9-12,5.0,5.0,Wilson,Mikolas,None,3:01,D,.87,-3,,2024
22,"Sunday, Apr 21",STL,Home,MIL,L,0.0,2.0,9.0,9-13,5.0,6.0,Hudson,Gray,Payamps,2:34,D,.82,-4,,2024
23,"Monday, Apr 22",STL,Home,ARI,W-wo,5.0,3.0,9.0,10-13,5.0,5.0,Helsley,Thompson,None,2:30,N,.76,1,,2024
24,"Tuesday, Apr 23",STL,Home,ARI,L,1.0,14.0,9.0,10-14,5.0,5.0,Henry,Matz,Allen,2:37,N,.76,-1,,2024
25,"Wednesday, Apr 24",STL,Home,ARI,W,5.0,1.0,9.0,11-14,5.0,5.0,Gibson,Montgomery,None,2:21,D,.70,1,,2024
26,"Friday, Apr 26",STL,@,NYM,W,4.0,2.0,9.0,12-14,5.0,5.5,Mikolas,Buttó,Helsley,2:30,N,.77,2,,2024
27,"Saturday, Apr 27",STL,@,NYM,W,7.0,4.0,9.0,13-14,5.0,4.5,Gray,Houser,Helsley,3:03,D,.80,3,,2024
28,"Sunday, Apr 28",STL,@,NYM,L-wo,2.0,4.0,11.0,13-15,5.0,4.5,Garrett,Liberatore,None,2:59,D,.83,-1,,2024
29,"Tuesday, Apr 30 (1)",STL,@,DET,W,2.0,1.0,9.0,14-15,4.0,4.5,Liberatore,Miller,Helsley,2:19,D,.76,1,,2024
30,"Tuesday, Apr 30 (2)",STL,@,DET,L,6.0,11.0,9.0,14-16,4.0,4.5,Holton,Leahy,None,3:00,D,.81,-1,,2024
31,"Wednesday, May 1",STL,@,DET,L,1.0,4.0,9.0,14-17,4.0,5.5,Maeda,Mikolas,Lange,2:21,D,.78,-2,,2024
32,"Friday, May 3",STL,Home,CHW,W,3.0,0.0,9.0,15-17,4.0,5.5,Gray,Keller,Helsley,2:21,N,.75,1,,2024
33,"Saturday, May 4",STL,Home,CHW,L,5.0,6.0,10.0,15-18,4.0,5.5,Kopech,Fernandez,Banks,3:12,D,.78,-1,,2024
34,"Sunday, May 5",STL,Home,CHW,L,1.0,5.0,9.0,15-19,5.0,5.5,Crochet,Gallegos,None,2:28,D,.72,-2,,2024
35,"Monday, May 6",STL,Home,NYM,L,3.0,4.0,9.0,15-20,5.0,5.5,Manaea,Kittredge,Díaz,2:25,N,.73,-3,,2024
36,"Tuesday, May 7",STL,Home,NYM,L,5.0,7.0,9.0,15-21,5.0,6.5,Buttó,Mikolas,Ottavino,2:52,N,.68,-4,,2024
37,"Thursday, May 9",STL,@,MIL,L,1.0,7.0,9.0,15-22,5.0,7.0,Koenig,Gray,None,2:27,N,.67,-5,,2024
38,"Friday, May 10",STL,@,MIL,L,2.0,11.0,9.0,15-23,5.0,8.0,Gasser,Lynn,Herget,2:31,N,.62,-6,,2024
39,"Saturday, May 11",STL,@,MIL,L,3.0,5.0,9.0,15-24,5.0,9.0,Milner,Kittredge,Megill,2:50,N,.55,-7,,2024
40,"Sunday, May 12",STL,@,MIL,W,4.0,3.0,9.0,16-24,5.0,8.0,Mikolas,Peguero,Helsley,2:44,D,.50,1,,2024
41,"Monday, May 13",STL,@,LAA,W,10.0,5.0,9.0,17-24,4.0,7.0,Leahy,Moore,None,2:54,N,.47,2,,2024
42,"Tuesday, May 14",STL,@,LAA,W,7.0,6.0,9.0,18-24,4.0,7.0,Gray,Strickland,Helsley,2:55,N,.55,3,,2024
43,"Wednesday, May 15",STL,@,LAA,L,2.0,7.0,9.0,18-25,4.0,8.0,Canning,Lynn,None,2:57,N,.58,-1,,2024
44,"Friday, May 17",STL,Home,BOS,W,10.0,6.0,9.0,19-25,4.0,7.0,Gibson,Bello,None,2:52,N,.54,1,,2024
45,"Saturday, May 18",STL,Home,BOS,W,7.0,2.0,9.0,20-25,3.0,7.0,Romero,Slaten,None,2:40,N,.63,2,,2024
46,"Sunday, May 19",STL,Home,BOS,L,3.0,11.0,9.0,20-26,4.0,7.0,Pivetta,Liberatore,None,2:51,D,.62,-1,,2024
47,"Monday, May 20",STL,Home,BAL,W,6.0,3.0,9.0,21-26,4.0,6.0,Gray,Kremer,Helsley,2:49,N,.60,1,,2024
48,"Tuesday, May 21",STL,Home,BAL,W,3.0,1.0,9.0,22-26,4.0,6.0,Lynn,Webb,Helsley,2:08,D,.62,2,,2024
49,"Wednesday, May 22",STL,Home,BAL,W,5.0,4.0,9.0,23-26,3.0,5.0,King,Irvin,Fernandez,2:32,D,.67,3,,2024
50,"Saturday, May 25",STL,Home,CHC,W,7.0,6.0,9.0,24-26,3.0,5.5,Romero,Leiter,Helsley,2:53,N,.82,4,,2024
51,"Sunday, May 26",STL,Home,CHC,W,4.0,3.0,9.0,25-26,3.0,4.5,Gray,Assad,Helsley,2:36,N,.91,5,,2024
52,"Monday, May 27",STL,@,CIN,L,1.0,3.0,9.0,25-27,3.0,5.5,Lodolo,Lynn,Sims,2:15,D,.93,-1,,2024
53,"Tuesday, May 28",STL,@,CIN,W,7.0,1.0,9.0,26-27,3.0,4.5,Gibson,Abbott,None,2:37,N,.87,1,,2024
54,"Wednesday, May 29",STL,@,CIN,W,5.0,3.0,9.0,27-27,2.0,4.5,Pallante,Montas,Helsley,2:58,D,.94,2,,2024
55,"Friday, May 31",STL,@,PHI,L,2.0,4.0,9.0,27-28,2.0,6.0,Nola,Mikolas,Hoffman,2:14,N,.97,-1,,2024
56,"Saturday, Jun 1",STL,@,PHI,L,1.0,6.0,9.0,27-29,3.0,7.0,Turnbull,Gray,None,2:28,N,.88,-2,,2024
57,"Sunday, Jun 2",STL,@,PHI,W,5.0,4.0,10.0,28-29,2.0,7.0,King,Soto,Helsley,3:04,N,.83,1,,2024
58,"Monday, Jun 3",STL,@,HOU,L,4.0,7.0,9.0,28-30,2.0,7.0,Montero,Romero,Hader,2:56,N,.86,-1,,2024
59,"Tuesday, Jun 4",STL,@,HOU,L,5.0,8.0,9.0,28-31,3.0,7.0,Scott,Pallante,Pressly,3:01,N,.78,-2,,2024
60,"Wednesday, Jun 5",STL,@,HOU,W,4.0,2.0,9.0,29-31,3.0,6.0,Mikolas,Blanco,Helsley,2:00,D,.79,1,,2024
61,"Thursday, Jun 6",STL,Home,COL,L,2.0,3.0,9.0,29-32,3.0,6.5,Quantrill,Gray,Kinley,2:59,N,.85,-1,,2024
62,"Friday, Jun 7",STL,Home,COL,W,8.0,5.0,9.0,30-32,2.0,6.5,Romero,Carasiti,Helsley,2:59,N,.76,1,,2024
63,"Saturday, Jun 8",STL,Home,COL,L,5.0,6.0,9.0,30-33,4.0,7.5,Vodnik,Kittredge,Kinley,2:31,D,.80,-1,,2024
64,"Sunday, Jun 9",STL,Home,COL,W,5.0,1.0,9.0,31-33,2.0,6.5,Pallante,Blach,None,2:15,D,.71,1,,2024
65,"Tuesday, Jun 11",STL,Home,PIT,L,1.0,2.0,9.0,31-34,3.0,7.0,Holderman,Helsley,Bednar,2:28,N,.86,-1,,2024
66,"Wednesday, Jun 12",STL,Home,PIT,W,4.0,2.0,9.0,32-34,2.0,7.0,Gray,Falter,Helsley,2:12,N,.84,1,,2024
67,"Thursday, Jun 13",STL,Home,PIT,W,4.0,3.0,9.0,33-34,2.0,6.5,Roycroft,Keller,Kittredge,2:31,D,.87,2,,2024
68,"Friday, Jun 14",STL,@,CHC,W,3.0,0.0,9.0,34-34,2.0,5.5,Gibson,Wesneski,Helsley,2:28,D,.92,3,,2024
69,"Saturday, Jun 15",STL,@,CHC,L,1.0,5.0,9.0,34-35,2.0,6.5,Imanaga,Pallante,None,2:30,D,.98,-1,,2024
70,"Sunday, Jun 16",STL,@,CHC,W,2.0,1.0,9.0,35-35,2.0,6.5,Mikolas,Taillon,Helsley,2:48,D,.93,1,,2024
71,"Monday, Jun 17",STL,@,MIA,W,7.0,6.0,12.0,36-35,2.0,5.5,Kittredge,Puk,None,3:28,N,.90,2,,2024
72,"Tuesday, Jun 18",STL,@,MIA,L-wo,8.0,9.0,10.0,36-36,2.0,6.5,Faucher,Roycroft,None,2:55,N,.98,-1,,2024
73,"Wednesday, Jun 19",STL,@,MIA,L-wo,3.0,4.0,9.0,36-37,2.0,7.5,Scott,Fernandez,None,2:35,D,.91,-2,,2024
74,"Thursday, Jun 20",STL,Home,SFG,W,6.0,5.0,9.0,37-37,2.0,6.5,Pallante,Winn,Helsley,2:53,N,.88,1,,2024
75,"Saturday, Jun 22",STL,Home,SFG,W,9.0,4.0,9.0,38-37,2.0,5.0,Mikolas,Hicks,None,2:28,D,.94,2,,2024
76,"Sunday, Jun 23",STL,Home,SFG,W,5.0,3.0,9.0,39-37,2.0,5.0,Gray,Webb,Helsley,2:15,D,.96,3,,2024
77,"Monday, Jun 24",STL,Home,ATL,W,4.0,3.0,9.0,40-37,2.0,5.0,Lynn,Schwellenbach,Helsley,2:24,N,1.06,4,,2024
78,"Wednesday, Jun 26 (1)",STL,Home,ATL,L,2.0,6.0,9.0,40-38,2.0,6.0,López,Gibson,None,2:49,D,1.09,-1,,2024
79,"Wednesday, Jun 26 (2)",STL,Home,ATL,W,4.0,1.0,9.0,41-38,2.0,6.0,Liberatore,Elder,Helsley,2:15,N,1.04,1,,2024
80,"Thursday, Jun 27",STL,Home,CIN,L,4.0,11.0,9.0,41-39,2.0,6.5,Abbott,Mikolas,None,2:45,N,1.02,-1,,2024
81,"Friday, Jun 28",STL,Home,CIN,W,1.0,0.0,9.0,42-39,2.0,6.5,Pallante,Montas,Helsley,2:36,N,1.01,1,,2024
82,"Saturday, Jun 29",STL,Home,CIN,L,4.0,9.0,9.0,42-40,2.0,6.5,Spiers,Gray,None,3:03,D,1.01,-1,,2024
83,"Sunday, Jun 30",STL,Home,CIN,W,2.0,0.0,9.0,43-40,2.0,6.5,Lynn,Greene,Helsley,2:17,D,1.04,1,,2024
84,"Tuesday, Jul 2",STL,@,PIT,W,7.0,4.0,9.0,44-40,2.0,6.0,Gibson,Keller,Helsley,2:34,N,1.05,2,,2024
85,"Wednesday, Jul 3",STL,@,PIT,L-wo,4.0,5.0,10.0,44-41,2.0,7.0,Chapman,Kittredge,None,2:48,N,1.09,-1,,2024
86,"Thursday, Jul 4",STL,@,PIT,W,3.0,2.0,10.0,45-41,2.0,6.0,King,Santana,None,2:52,D,1.04,1,,2024
87,"Friday, Jul 5",STL,@,WSN,W,7.0,6.0,11.0,46-41,2.0,5.0,Helsley,Floro,None,3:26,N,1.10,2,,2024
88,"Saturday, Jul 6",STL,@,WSN,L,6.0,14.0,9.0,46-42,2.0,5.0,Barnes,Lynn,None,3:10,D,1.12,-1,,2024
89,"Sunday, Jul 7",STL,@,WSN,W,8.0,3.0,9.0,47-42,2.0,5.0,Gibson,Herz,None,2:59,D,1.12,1,,2024
90,"Monday, Jul 8",STL,@,WSN,W,6.0,0.0,9.0,48-42,2.0,4.5,Mikolas,Parker,None,2:24,D,1.14,2,,2024
91,"Wednesday, Jul 10 (1)",STL,Home,KCR,L,4.0,6.0,9.0,48-43,2.0,5.5,Marsh,Pallante,McArthur,2:27,D,1.15,-1,,2024
92,"Wednesday, Jul 10 (2)",STL,Home,KCR,L,5.0,8.0,9.0,48-44,2.0,5.5,Wacha,Graceffo,McArthur,2:33,N,1.09,-2,,2024
93,"Friday, Jul 12",STL,Home,CHC,L,1.0,5.0,9.0,48-45,2.0,5.0,Hendricks,Gray,Neris,2:56,N,1.20,-3,,2024
94,"Saturday, Jul 13 (1)",STL,Home,CHC,W,11.0,3.0,9.0,49-45,2.0,3.5,Lynn,Wesneski,None,2:27,D,1.14,1,,2024
95,"Saturday, Jul 13 (2)",STL,Home,CHC,W,5.0,4.0,9.0,50-45,2.0,3.5,Romero,Hodge,Helsley,2:41,N,1.20,2,,2024
96,"Sunday, Jul 14",STL,Home,CHC,L,3.0,8.0,9.0,50-46,2.0,4.5,Taillon,Mikolas,None,2:20,D,1.26,-1,,2024
97,"Saturday, Jul 20 (1)",STL,@,ATL,L-wo,2.0,3.0,10.0,50-47,2.0,5.0,Johnson,Roycroft,None,2:50,D,1.24,-2,,2024
98,"Saturday, Jul 20 (2)",STL,@,ATL,W,9.0,5.0,9.0,51-47,2.0,5.0,Gray,Elder,Leahy,2:28,N,1.17,1,,2024
99,"Sunday, Jul 21",STL,@,ATL,W,6.0,2.0,9.0,52-47,2.0,5.0,Mikolas,Schwellenbach,None,2:20,D,1.25,2,,2024
100,"Monday, Jul 22",STL,@,PIT,L,1.0,2.0,9.0,52-48,2.0,5.0,Chapman,King,Bednar,2:29,N,1.31,-1,,2024
101,"Tuesday, Jul 23",STL,@,PIT,W,2.0,1.0,9.0,53-48,2.0,5.0,Fernandez,Skenes,Helsley,2:23,N,1.25,1,,2024
102,"Wednesday, Jul 24",STL,@,PIT,L,0.0,5.0,9.0,53-49,2.0,6.0,Pérez,Liberatore,None,2:30,D,1.22,-1,,2024
103,"Friday, Jul 26",STL,Home,WSN,L,8.0,10.0,10.0,53-50,2.0,6.0,Barnes,Fernandez,None,3:05,N,1.12,-2,,2024
104,"Saturday, Jul 27",STL,Home,WSN,L,3.0,14.0,9.0,53-51,2.0,6.0,Irvin,Gibson,None,3:11,N,1.08,-3,,2024
105,"Sunday, Jul 28",STL,Home,WSN,W-wo,4.0,3.0,9.0,54-51,2.0,6.0,Helsley,Floro,None,2:17,D,1.02,1,,2024
106,"Monday, Jul 29",STL,Home,TEX,L,3.0,6.0,9.0,54-52,2.0,7.0,Eovaldi,Pallante,Yates,2:52,N,1.08,-1,,2024
107,"Tuesday, Jul 30",STL,Home,TEX,W,8.0,1.0,9.0,55-52,2.0,6.0,Lynn,Scherzer,None,2:22,N,1.00,1,,2024
108,"Wednesday, Jul 31",STL,Home,TEX,W,10.0,1.0,9.0,56-52,2.0,5.0,McGreevy,Heaney,None,2:28,D,1.02,2,,2024
109,"Thursday, Aug 1",STL,@,CHC,L-wo,4.0,5.0,9.0,56-53,2.0,5.5,Pearson,Helsley,None,2:35,N,1.16,-1,,2024
110,"Friday, Aug 2",STL,@,CHC,L,3.0,6.0,9.0,56-54,2.0,6.5,Miller,Fedde,Neris,2:42,D,1.13,-2,,2024
111,"Saturday, Aug 3",STL,@,CHC,W,5.0,4.0,9.0,57-54,2.0,5.5,Romero,Neris,Helsley,2:21,D,.98,1,,2024
112,"Sunday, Aug 4",STL,@,CHC,L,2.0,6.0,9.0,57-55,2.0,5.5,Steele,Mikolas,None,2:30,N,1.11,-1,,2024
113,"Monday, Aug 5",STL,Home,NYM,L,0.0,6.0,9.0,57-56,2.0,6.0,Manaea,Pallante,None,2:22,D,1.09,-2,,2024
114,"Tuesday, Aug 6",STL,Home,TBR,W,4.0,3.0,9.0,58-56,2.0,6.0,Gray,Springs,Helsley,2:24,N,.89,1,,2024
115,"Wednesday, Aug 7",STL,Home,TBR,W,5.0,2.0,9.0,59-56,2.0,6.0,Fedde,Bradley,Helsley,2:29,N,.97,2,,2024
116,"Thursday, Aug 8",STL,Home,TBR,L,4.0,6.0,9.0,59-57,2.0,7.0,Lovelady,Romero,Fairbanks,2:48,N,.98,-1,,2024
117,"Friday, Aug 9",STL,@,KCR,W,8.0,5.0,9.0,60-57,2.0,7.0,Liberatore,Smith,Helsley,2:56,N,.87,1,,2024
118,"Saturday, Aug 10",STL,@,KCR,L,3.0,8.0,9.0,60-58,2.0,8.0,Wacha,Fernandez,Erceg,2:45,N,.95,-1,,2024
119,"Monday, Aug 12",STL,@,CIN,L,1.0,6.0,9.0,60-59,2.0,7.5,Abbott,Gray,None,2:18,N,.91,-2,,2024
120,"Tuesday, Aug 13",STL,@,CIN,L,1.0,4.0,9.0,60-60,2.0,7.5,Greene,Fedde,Díaz,1:59,N,.81,-3,,2024
121,"Wednesday, Aug 14",STL,@,CIN,L,2.0,9.0,9.0,60-61,2.0,8.5,Moll,Gibson,None,2:39,N,.74,-4,,2024
122,"Friday, Aug 16",STL,Home,LAD,L,6.0,7.0,9.0,60-62,2.0,10.0,Wrobleski,Mikolas,Kopech,2:39,N,.53,-5,,2024
123,"Saturday, Aug 17",STL,Home,LAD,W,5.0,2.0,9.0,61-62,2.0,10.0,Pallante,Miller,Helsley,2:27,N,.44,1,,2024
124,"Sunday, Aug 18",STL,Home,LAD,L,1.0,2.0,9.0,61-63,2.0,11.0,Kershaw,Gray,Kopech,2:27,D,.49,-1,,2024
125,"Tuesday, Aug 20",STL,Home,MIL,L,2.0,3.0,9.0,61-64,3.0,12.0,Montas,Fedde,Williams,2:29,N,.37,-2,,2024
126,"Wednesday, Aug 21",STL,Home,MIL,W-wo,10.0,6.0,10.0,62-64,2.0,11.0,Helsley,Megill,None,3:51,N,.25,1,,2024
127,"Thursday, Aug 22",STL,Home,MIL,W,3.0,0.0,9.0,63-64,2.0,10.0,Kittredge,Mears,Helsley,2:35,D,.34,2,,2024
128,"Friday, Aug 23",STL,@,MIN,W,6.0,1.0,9.0,64-64,2.0,10.0,Pallante,Festa,None,2:53,N,.37,3,,2024
129,"Saturday, Aug 24",STL,@,MIN,L,0.0,6.0,9.0,64-65,3.0,11.0,López,Gray,None,2:20,N,.41,-1,,2024
130,"Sunday, Aug 25",STL,@,MIN,W,3.0,2.0,9.0,65-65,2.0,10.0,Armstrong,Duran,Helsley,2:24,D,.32,1,,2024
131,"Monday, Aug 26",STL,Home,SDP,L,4.0,7.0,9.0,65-66,3.0,10.5,Vásquez,Gibson,None,2:54,N,.44,-1,,2024
132,"Tuesday, Aug 27",STL,Home,SDP,L,5.0,7.0,9.0,65-67,3.0,10.5,Matsui,King,Scott,2:52,N,.27,-2,,2024
133,"Wednesday, Aug 28",STL,Home,SDP,W-wo,4.0,3.0,9.0,66-67,3.0,10.5,Helsley,Suarez,None,3:00,N,.15,1,,2024
134,"Thursday, Aug 29",STL,Home,SDP,W,4.0,1.0,9.0,67-67,3.0,10.5,Gray,King,Helsley,2:40,D,.19,2,,2024
135,"Friday, Aug 30",STL,@,NYY,L,3.0,6.0,9.0,67-68,3.0,12.0,Stroman,Fedde,Holmes,2:25,N,.23,-1,,2024
136,"Saturday, Aug 31",STL,@,NYY,W,6.0,5.0,9.0,68-68,3.0,12.0,Gibson,Warren,Helsley,2:37,D,.12,1,,2024
137,"Sunday, Sep 1",STL,@,NYY,W,14.0,7.0,9.0,69-68,3.0,11.0,Romero,Cousins,None,3:21,D,.19,2,,2024
138,"Monday, Sep 2",STL,@,MIL,L,3.0,9.0,9.0,69-69,3.0,12.0,Peralta,Pallante,None,2:55,D,.22,-1,,2024
139,"Tuesday, Sep 3",STL,@,MIL,W,7.0,4.0,12.0,70-69,3.0,11.0,Helsley,Peguero,None,3:13,N,.14,1,,2024
140,"Wednesday, Sep 4",STL,@,MIL,W,3.0,2.0,10.0,71-69,3.0,10.0,Kittredge,Payamps,Fernandez,2:55,N,.15,2,,2024
141,"Friday, Sep 6",STL,Home,SEA,L,1.0,6.0,9.0,71-70,3.0,10.0,Miller,Fedde,None,2:52,N,.17,-1,,2024
142,"Saturday, Sep 7",STL,Home,SEA,W,2.0,0.0,9.0,72-70,2.0,10.0,Kittredge,Gilbert,Helsley,2:25,N,.08,1,,2024
143,"Sunday, Sep 8",STL,Home,SEA,L,4.0,10.0,9.0,72-71,3.0,10.0,Thornton,Mikolas,None,2:51,D,.14,-1,,2024
144,"Tuesday, Sep 10",STL,Home,CIN,L,0.0,3.0,9.0,72-72,3.0,11.0,Lowder,Pallante,Pagán,2:34,N,.07,-2,,2024
145,"Wednesday, Sep 11",STL,Home,CIN,W,2.0,1.0,9.0,73-72,3.0,10.0,Romero,Farmer,Helsley,2:37,N,.03,1,,2024
146,"Thursday, Sep 12",STL,Home,CIN,W,6.0,1.0,9.0,74-72,3.0,10.0,Gray,Spiers,Romero,2:27,D,.04,2,,2024
147,"Friday, Sep 13",STL,@,TOR,L-wo,3.0,4.0,11.0,74-73,3.0,11.0,Swanson,Fernandez,None,3:05,N,.05,-1,,2024
148,"Saturday, Sep 14",STL,@,TOR,L,2.0,7.0,9.0,74-74,3.0,12.0,Berríos,Gibson,None,2:32,D,.02,-2,,2024
149,"Sunday, Sep 15",STL,@,TOR,L,2.0,3.0,9.0,74-75,3.0,12.0,Pop,Kittredge,Green,2:26,D,.01,-3,,2024
150,"Monday, Sep 16",STL,Home,PIT,W,4.0,0.0,9.0,75-75,3.0,12.0,Pallante,Skenes,None,2:35,N,.00,1,,2024
151,"Tuesday, Sep 17",STL,Home,PIT,W,3.0,1.0,9.0,76-75,3.0,11.0,Lynn,Falter,Helsley,2:23,N,.00,2,,2024
152,"Wednesday, Sep 18",STL,Home,PIT,W,10.0,5.0,9.0,77-75,2.0,11.0,McGreevy,Bednar,None,2:45,N,.01,3,,2024
153,"Thursday, Sep 19",STL,Home,PIT,L,2.0,3.0,9.0,77-76,3.0,11.0,Mlodzinski,Romero,Chapman,2:21,N,.01,-1,,2024
154,"Friday, Sep 20",STL,Home,CLE,L,1.0,5.0,9.0,77-77,3.0,11.0,Lively,Gibson,Sabrowski,2:22,N,.00,-2,,2024
155,"Saturday, Sep 21",STL,Home,CLE,W,6.0,5.0,9.0,78-77,3.0,10.0,Mikolas,Boyd,Helsley,2:39,N,.00,1,,2024
156,"Sunday, Sep 22",STL,Home,CLE,W,2.0,1.0,9.0,79-77,3.0,10.0,Pallante,Herrin,Helsley,2:15,D,.00,2,,2024
157,"Tuesday, Sep 24",STL,@,COL,W,7.0,3.0,9.0,80-77,3.0,10.0,Kittredge,Chivilli,None,2:39,N,.00,3,,2024
158,"Wednesday, Sep 25",STL,@,COL,W,5.0,2.0,9.0,81-77,2.0,9.0,Fedde,Gomber,Helsley,2:11,N,.00,4,,2024
159,"Thursday, Sep 26",STL,@,COL,L,8.0,10.0,9.0,81-78,2.0,10.0,Chivilli,Fernandez,Halvorsen,2:52,D,.00,-1,,2024
160,"Friday, Sep 27",STL,@,SFG,W,6.0,3.0,9.0,82-78,2.0,10.0,Mikolas,Roupp,Helsley,2:46,N,.00,1,,2024
161,"Saturday, Sep 28",STL,@,SFG,L,5.0,6.0,9.0,82-79,3.0,11.0,Walker,Liberatore,Bivens,2:51,D,.00,-1,,2024
162,"Sunday, Sep 29",STL,@,SFG,W,6.0,1.0,9.0,83-79,2.0,10.0,McGreevy,Birdsong,None,2:29,D,.00,1,,2024
1,"Thursday, Mar 30",STL,Home,TOR,L,9.0,10.0,9.0,0-1,3.0,1.0,García,Helsley,Romano,3:38,D,.88,-1,,2023
2,"Saturday, Apr 1",STL,Home,TOR,W,4.0,1.0,9.0,1-1,1.0,Tied,Flaherty,Gausman,Helsley,2:31,D,.86,1,,2023
3,"Sunday, Apr 2",STL,Home,TOR,W,9.0,4.0,9.0,2-1,1.0,Tied,Montgomery,Bassitt,None,2:29,D,.88,2,,2023
4,"Monday, Apr 3",STL,Home,ATL,L,4.0,8.0,9.0,2-2,3.0,1.0,Morton,Woodford,None,2:46,N,.97,-1,,2023
5,"Tuesday, Apr 4",STL,Home,ATL,L,1.0,4.0,9.0,2-3,4.0,2.0,Dodd,Matz,Minter,2:20,N,.98,-2,,2023
6,"Wednesday, Apr 5",STL,Home,ATL,L,2.0,5.0,9.0,2-4,5.0,3.0,Elder,Mikolas,Chavez,2:27,D,.90,-3,,2023
7,"Friday, Apr 7",STL,@,MIL,L,0.0,4.0,9.0,2-5,5.0,4.0,Woodruff,Flaherty,None,2:45,N,.87,-4,,2023
8,"Saturday, Apr 8",STL,@,MIL,W,6.0,0.0,9.0,3-5,5.0,3.0,Montgomery,Lauer,None,2:32,N,.84,1,,2023
9,"Sunday, Apr 9",STL,@,MIL,L,1.0,6.0,9.0,3-6,5.0,4.0,Peralta,Woodford,None,2:49,D,.90,-1,,2023
10,"Monday, Apr 10",STL,@,COL,L,4.0,7.0,9.0,3-7,5.0,4.0,Márquez,Matz,None,2:14,N,.77,-2,,2023
11,"Tuesday, Apr 11",STL,@,COL,W,9.0,6.0,9.0,4-7,5.0,4.0,Gallegos,Johnson,Helsley,2:37,N,.72,1,,2023
12,"Wednesday, Apr 12",STL,@,COL,W,7.0,4.0,9.0,5-7,4.0,3.0,Pallante,Lawrence,Helsley,2:34,D,.77,2,,2023
13,"Thursday, Apr 13",STL,Home,PIT,L,0.0,5.0,9.0,5-8,5.0,4.0,Velasquez,Montgomery,None,2:41,N,.91,-1,,2023
14,"Friday, Apr 14",STL,Home,PIT,W,3.0,0.0,9.0,6-8,4.0,4.0,Thompson,Oviedo,Gallegos,2:17,N,.85,1,,2023
15,"Saturday, Apr 15",STL,Home,PIT,L,3.0,6.0,10.0,6-9,5.0,4.0,Bednar,Hicks,Moreta,2:54,D,.89,-1,,2023
16,"Sunday, Apr 16",STL,Home,PIT,W-wo,5.0,4.0,10.0,7-9,4.0,4.0,VerHagen,Crowe,None,2:45,D,.83,1,,2023
17,"Monday, Apr 17",STL,Home,ARI,L,3.0,6.0,9.0,7-10,5.0,5.0,Kelly,Flaherty,Chafin,2:24,N,.85,-1,,2023
18,"Tuesday, Apr 18",STL,Home,ARI,L,7.0,8.0,9.0,7-11,5.0,6.0,Nelson,Montgomery,Castro,3:06,N,.78,-2,,2023
19,"Wednesday, Apr 19",STL,Home,ARI,W,14.0,5.0,9.0,8-11,4.0,6.0,Woodford,Bumgarner,None,2:59,D,.68,1,,2023
20,"Friday, Apr 21",STL,@,SEA,L,2.0,5.0,9.0,8-12,4.0,6.0,Kirby,Matz,Sewald,2:13,N,.69,-1,,2023
21,"Saturday, Apr 22",STL,@,SEA,L,4.0,5.0,9.0,8-13,4.0,7.0,Brash,Thompson,Sewald,2:29,N,.68,-2,,2023
22,"Sunday, Apr 23",STL,@,SEA,W,7.0,3.0,9.0,9-13,4.0,6.5,Flaherty,Flexen,None,2:47,D,.58,1,,2023
