,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,cLI,Streak,Orig. Scheduled,Year
40,"Saturday, May 10",STL,@,WSN,W,4.0,2.0,9.0,21-19,2.0,2.0,Pallante,Williams,Helsley,2:29,D,.99,7,,2025
41,"Sunday, May 11",STL,@,WSN,W,6.0,1.0,9.0,22-19,2.0,1.0,Mikolas,Gore,None,2:24,D,1.02,8,,2025
42,"Monday, May 12",STL,@,PHI,W,3.0,2.0,9.0,23-19,2.0,1.0,Leahy,Strahm,Helsley,2:28,N,1.15,9,,2025
43,"Wednesday, May 14 (1)",STL,@,PHI,L,1.0,2.0,9.0,23-20,2.0,1.0,Luzardo,Matz,Romano,2:36,D,1.16,-1,,2025
44,"Wednesday, May 14 (2)",STL,@,PHI,W,14.0,7.0,9.0,24-20,2.0,1.0,Roycroft,Nola,None,3:17,N,1.11,1,,2025
45,"Friday, May 16",STL,@,KCR,W,10.0,3.0,9.0,25-20,2.0,1.0,Pallante,Ragans,None,2:45,N,1.13,2,,2025
46,"Saturday, May 17",STL,@,KCR,W,1.0,0.0,9.0,26-20,2.0,1.0,Mikolas,Cameron,Helsley,1:49,N,1.18,3,,2025
47,"Sunday, May 18",STL,@,KCR,L,1.0,2.0,9.0,26-21,2.0,2.0,Erceg,Roycroft,Estévez,2:24,D,1.19,-1,,2025
48,"Monday, May 19",STL,Home,DET,W,11.0,4.0,9.0,27-21,2.0,1.0,Gray,Guenther,None,2:39,N,1.14,1,,2025
49,"Tuesday, May 20",STL,Home,DET,L,4.0,5.0,9.0,27-22,2.0,2.0,Vest,Leahy,Kahnle,2:17,N,1.17,-1,,2025
50,"Wednesday, May 21",STL,Home,DET,L,1.0,5.0,9.0,27-23,2.0,3.0,Lee,Pallante,None,2:42,D,1.14,-2,,2025
51,"Friday, May 23",STL,Home,ARI,W,4.0,3.0,9.0,28-23,2.0,3.0,Mikolas,Gallen,Helsley,2:20,N,1.15,1,,2025
52,"Saturday, May 24",STL,Home,ARI,W,6.0,5.0,9.0,29-23,2.0,2.0,Helsley,Martinez,None,2:34,D,1.16,2,,2025
53,"Sunday, May 25",STL,Home,ARI,W,4.0,3.0,9.0,30-23,2.0,2.0,King,Ginkel,Maton,2:32,D,1.19,3,,2025
54,"Monday, May 26",STL,@,BAL,L,2.0,5.0,9.0,30-24,2.0,3.0,Morton,Fedde,Bautista,2:19,D,1.16,-1,,2025
55,"Tuesday, May 27",STL,@,BAL,W,7.0,4.0,9.0,31-24,2.0,3.0,Matz,Baker,Helsley,2:57,N,1.12,1,,2025
56,"Wednesday, May 28",STL,@,BAL,W,6.0,4.0,9.0,32-24,2.0,3.0,King,Povich,Helsley,3:03,N,1.14,2,,2025
57,"Friday, May 30",STL,@,TEX,L,1.0,11.0,9.0,32-25,2.0,3.0,Leiter,Liberatore,Boushley,2:39,N,1.17,-1,,2025
58,"Saturday, May 31",STL,@,TEX,W,2.0,0.0,9.0,33-25,2.0,3.0,Gray,Corbin,Helsley,2:26,D,1.15,1,,2025
59,"Sunday, Jun 1",STL,@,TEX,L,1.0,8.0,9.0,33-26,2.0,4.0,deGrom,Fedde,None,2:32,D,1.22,-1,,2025
60,"Tuesday, Jun 3",STL,Home,KCR,L,7.0,10.0,9.0,33-27,2.0,5.0,Cruz,Matz,Estévez,3:04,N,1.14,-2,,2025
61,"Thursday, Jun 5 (1)",STL,Home,KCR,W-wo,6.0,5.0,10.0,34-27,2.0,5.0,Romero,Estévez,None,2:51,D,1.13,1,,2025
62,"Thursday, Jun 5 (2)",STL,Home,KCR,L,5.0,7.0,9.0,34-28,2.0,5.0,Zerpa,Liberatore,Estévez,2:56,N,1.18,-1,,2025
63,"Friday, Jun 6",STL,Home,LAD,W,5.0,0.0,9.0,35-28,2.0,4.0,Gray,Wrobleski,None,2:20,N,1.22,1,,2025
64,"Saturday, Jun 7",STL,Home,LAD,W-wo,2.0,1.0,9.0,36-28,2.0,4.0,Helsley,Casparius,None,2:40,D,1.26,2,,2025
65,"Sunday, Jun 8",STL,Home,LAD,L,3.0,7.0,9.0,36-29,2.0,4.0,Kershaw,McGreevy,None,2:55,D,1.33,-1,,2025
66,"Monday, Jun 9",STL,Home,TOR,L,4.0,5.0,10.0,36-30,2.0,4.0,Rodríguez,Maton,Hoffman,2:48,N,1.12,-2,,2025
67,"Tuesday, Jun 10",STL,Home,TOR,L,9.0,10.0,9.0,36-31,2.0,5.0,Bassitt,Mikolas,Hoffman,2:36,N,1.08,-3,,2025
68,"Wednesday, Jun 11",STL,Home,TOR,L,2.0,5.0,9.0,36-32,2.0,5.0,Turnbull,Liberatore,Rodríguez,2:48,D,1.07,-4,,2025
69,"Thursday, Jun 12",STL,@,MIL,L,0.0,6.0,9.0,36-33,3.0,6.0,Misiorowski,Gray,Ashby,2:29,N,1.09,-5,,2025
70,"Friday, Jun 13",STL,@,MIL,L,2.0,3.0,9.0,36-34,3.0,6.0,Peralta,Fedde,Megill,2:37,N,1.07,-6,,2025
71,"Saturday, Jun 14",STL,@,MIL,W,8.0,5.0,9.0,37-34,3.0,6.0,Leahy,Quintana,None,3:10,D,1.08,1,,2025
72,"Sunday, Jun 15",STL,@,MIL,L,2.0,3.0,9.0,37-35,3.0,7.0,Priester,Mikolas,Megill,2:31,D,1.09,-1,,2025
73,"Tuesday, Jun 17",STL,@,CHW,W,12.0,2.0,9.0,38-35,3.0,7.0,Liberatore,Smith,None,2:32,N,.88,1,,2025
74,"Thursday, Jun 19 (1)",STL,@,CHW,W,5.0,4.0,9.0,39-35,2.0,5.5,Granillo,Booser,Helsley,2:55,D,.94,2,,2025
75,"Thursday, Jun 19 (2)",STL,@,CHW,W,8.0,6.0,10.0,40-35,2.0,5.5,Romero,Altavilla,Granillo,2:54,D,1.01,3,,2025
76,"Friday, Jun 20",STL,Home,CIN,W,6.0,1.0,9.0,41-35,2.0,4.5,Pallante,Singer,None,2:44,N,1.20,4,,2025
77,"Saturday, Jun 21",STL,Home,CIN,W-wo,6.0,5.0,11.0,42-35,2.0,4.5,Maton,Petty,None,3:18,D,1.25,5,,2025
78,"Sunday, Jun 22",STL,Home,CIN,L,1.0,4.0,9.0,42-36,3.0,4.5,Abbott,Mikolas,Pagán,2:24,D,1.28,-1,,2025
79,"Monday, Jun 23",STL,Home,CHC,W,8.0,2.0,9.0,43-36,2.0,3.5,Liberatore,Brown,None,2:10,N,1.27,1,,2025
